artist	title
Justin Timberlake duet with Beyonce	Until The End Of Time
Jack Johnson	Constellations
Kanye West	Family Business
Foo Fighters	Learn To Fly
Lady GaGa	Paper Gangsta
Edward Sharpe & The Magnetic Zeros	Black Water
Harmonia	Sehr kosmisch
John Parr	St. Elmos Fire ( Man In Motion ) ( LP Version )
Bohren & Der Club Of Gore	Schwarze Biene (Black Maja)
Gorilla Zoe	Lost (Explicit Album Version)
Panic At The Disco	Behind The Sea [Live In Chicago]
Kanye West	Champion
Foo Fighters	Breakout
Masta Killa	No Said Date
Petey Pablo	Didn't I
Rise Against	Paper Wings
Yung Joc featuring The Game_ Jim Jones & Block	Cut Throat (feat. The Game_ Jim Jones & Block) (Amended Album Version)
Kanye West	Through The Wire
Puddle Of Mudd	Blurry
Stelios Kazantzides	Condemn Me Society (Katadikase me koinonia)
Pereza	Lo  Que Tengo Yo Adentro
Big Tymers / TQ / Barewolf	Gimme Some
The Postal Service	Such Great Heights
Soltero	The Prize
Erin McKeown	Monday Morning Cold (band)
Rev Run	I Use To Think I Was Run
Hot Chip	Thieves In The Night
The Decemberists	I Was Meant For the Stage
The Red Jumpsuit Apparatus	Face Down (Album Version)
Incubus	Drive
Avenged Sevenfold	Chapter Four
Dr. Dre / Eminem	Forgot About Dre
The Prodigy	The Big Gundown
Soltero	Songs Of The Season
Scandinavian Music Group	Kun Puut Tekee Seittiä
Kanye West / Jay-Z	Diamonds From Sierra Leone
Beirut	St. Apollonia
the bird and the bee	Ray Gun
John Mayer	Bold As Love
Trey Songz	Can't Help But Wait (Album Version)
The Verve	Lord I Guess I'll Never Know
N.E.R.D.	Rock Star
Dr. Dre / Snoop Dogg	The Next Episode
Three Drives	Greece 2000
Shania Twain	Nah!
Band Of Horses	Window Blues (Album)
Lil Scrappy	I'm Back (Album Version)
Phoenix	Girlfriend
Phoenix	Armistice
Fleetwood Mac	Go Your Own Way (LP Version)
Passion Pit	Swimming In The Flood
Jason Mraz	You And I Both (LP Version)
Octopus Project	The Way Things Go
New Order	The Perfect Kiss (Live version from Video)
Tub Ring	Invalid
Bon Jovi	It's My Life
Lifehouse	You And Me (Wedding Version)
Natiruts	Jamaica Roots II(Agora E Sempre)
Michael Bublé	Put Your Head On My Shoulder (Album Version)
The Decemberists	As I Rise
C.V. Jørgensen	Pak Dit Grej (1998 Digital Remaster)
Counting Crows	Mr. Jones
The Mad Capsule Markets	Creature
Lifehouse	We'll Never Know
Radney Foster	The Kindness Of Strangers
Marty Stuart	Kiss Me_ I'm Gone
59 Times the Pain	Found Home
3 Doors Down	When I'm Gone
John Mayer	Heartbreak Warfare
Louis Smith	South Side (Digitally Remastered)
Rage Against The Machine	Wake Up (Album Version)
Foolish Things	Who Can Compare
Sean Paul	Baby Boy [feat. Beyonce]
Michael Bublé	Home (Album Version)
Michael Bublé	Save The Last Dance For Me [Ralphi Rosario Anthomic Vocal]
Justin Bieber	Somebody To Love
Zac Brown Band	Chicken Fried (Album)
Deadmau5	Ghosts 'n' Stuff (Original Instrumental Mix)
Eminem / Hailie Jade	My Dad's Gone Crazy
Taylor Swift	Hey Stephen
Eminem	The Real Slim Shady
Leona Lewis	Forgive Me
Twin Atlantic	What Is Light? Where Is Laughter? (Album Version)
Max Richter	Horizon Variations
The Crests	16 Candles
Eminem	Without Me
Salt-N-Pepa	Push It
Mindy Smith	My Holiday
Björk	Undo
Florence + The Machine	Dog Days Are Over (Radio Edit)
Amy Winehouse	Addicted
Dwight Yoakam	You're The One
Simple Minds	Sanctify Yourself
Nirvana	Come As You Are
